,NOC,Year,F,M,FP
102,AUS,1988,105.0,234.0,0.30973451327433627
103,AUS,1992,161.0,229.0,0.4128205128205128
104,AUS,1996,243.0,307.0,0.44181818181818183
105,AUS,2000,368.0,420.0,0.467005076142132
106,AUS,2004,274.0,327.0,0.4559068219633943
107,AUS,2008,271.0,299.0,0.47543859649122805
108,AUS,2012,243.0,271.0,0.4727626459143969
109,AUS,2016,263.0,255.0,0.5077220077220077
110,AUT,1912,10.0,122.0,0.07575757575757576
111,AUT,1924,3.0,53.0,0.05357142857142857
112,AUT,1928,6.0,107.0,0.05309734513274336
113,AUT,1932,3.0,30.0,0.09090909090909091
114,AUT,1936,25.0,338.0,0.06887052341597796
115,AUT,1948,42.0,197.0,0.17573221757322174
116,AUT,1952,70.0,168.0,0.29411764705882354
117,AUT,1956,5.0,52.0,0.08771929824561403
118,AUT,1960,54.0,144.0,0.2727272727272727
119,AUT,1964,21.0,61.0,0.25609756097560976
120,AUT,1968,11.0,48.0,0.1864406779661017
121,AUT,1972,21.0,122.0,0.14685314685314685
122,AUT,1976,6.0,67.0,0.0821917808219178
123,AUT,1980,20.0,72.0,0.21739130434782608
124,AUT,1984,41.0,89.0,0.3153846153846154
125,AUT,1988,9.0,87.0,0.09375
126,AUT,1992,39.0,88.0,0.30708661417322836
127,AUT,1996,21.0,71.0,0.22826086956521738
128,AUT,2000,45.0,69.0,0.39473684210526316
129,AUT,2004,26.0,66.0,0.2826086956521739
130,AUT,2008,38.0,55.0,0.40860215053763443
131,AUT,2012,38.0,52.0,0.4222222222222222
132,AUT,2016,40.0,45.0,0.47058823529411764
133,AZE,1996,4.0,20.0,0.16666666666666666
134,AZE,2000,7.0,25.0,0.21875
135,AZE,2004,7.0,30.0,0.1891891891891892
136,AZE,2008,14.0,30.0,0.3181818181818182
137,AZE,2012,16.0,43.0,0.2711864406779661
138,AZE,2016,16.0,53.0,0.2318840579710145
139,BAH,1972,1.0,24.0,0.04
140,BAH,1976,2.0,17.0,0.10526315789473684
141,BAH,1984,8.0,23.0,0.25806451612903225
142,BAH,1988,5.0,13.0,0.2777777777777778
143,BAH,1992,3.0,15.0,0.16666666666666666
144,BAH,1996,13.0,23.0,0.3611111111111111
145,BAH,2000,15.0,24.0,0.38461538461538464
146,BAH,2004,12.0,16.0,0.42857142857142855
147,BAH,2008,11.0,22.0,0.3333333333333333
148,BAH,2012,13.0,16.0,0.4482758620689655
149,BAH,2016,17.0,21.0,0.4473684210526316
150,BAN,1992,1.0,8.0,0.1111111111111111
151,BAN,1996,1.0,3.0,0.25
152,BAN,2000,4.0,2.0,0.6666666666666666
153,BAN,2004,1.0,3.0,0.25
154,BAN,2008,2.0,3.0,0.4
155,BAN,2012,1.0,6.0,0.14285714285714285
156,BAN,2016,3.0,4.0,0.42857142857142855
157,BAR,1972,8.0,12.0,0.4
158,BAR,1976,3.0,14.0,0.17647058823529413
159,BAR,1984,3.0,22.0,0.12
160,BAR,1988,2.0,24.0,0.07692307692307693
161,BAR,1992,2.0,20.0,0.09090909090909091
162,BAR,1996,3.0,19.0,0.13636363636363635
163,BAR,2000,10.0,18.0,0.35714285714285715
164,BAR,2004,1.0,14.0,0.06666666666666667
165,BAR,2008,2.0,8.0,0.2
166,BAR,2016,5.0,8.0,0.38461538461538464
167,BDI,1996,1.0,6.0,0.14285714285714285
168,BDI,2000,1.0,5.0,0.16666666666666666
169,BDI,2004,2.0,5.0,0.2857142857142857
170,BDI,2008,2.0,1.0,0.6666666666666666
171,BDI,2012,4.0,2.0,0.6666666666666666
172,BDI,2016,4.0,6.0,0.4
173,BEL,1912,1.0,71.0,0.013888888888888888
174,BEL,1920,18.0,500.0,0.03474903474903475
175,BEL,1924,10.0,224.0,0.042735042735042736
176,BEL,1928,16.0,244.0,0.06153846153846154
177,BEL,1932,25.0,44.0,0.36231884057971014
178,BEL,1936,5.0,200.0,0.024390243902439025
179,BEL,1948,23.0,159.0,0.12637362637362637
180,BEL,1952,8.0,176.0,0.043478260869565216
181,BEL,1956,5.0,77.0,0.06097560975609756
182,BEL,1960,20.0,130.0,0.13333333333333333
183,BEL,1964,5.0,69.0,0.06756756756756757
184,BEL,1968,16.0,90.0,0.1509433962264151
185,BEL,1972,8.0,98.0,0.07547169811320754
186,BEL,1976,53.0,96.0,0.35570469798657717
187,BEL,1980,30.0,54.0,0.35714285714285715
188,BEL,1984,22.0,64.0,0.2558139534883721
189,BEL,1988,35.0,50.0,0.4117647058823529
190,BEL,1992,39.0,64.0,0.3786407766990291
191,BEL,1996,28.0,53.0,0.345679012345679
192,BEL,2000,54.0,40.0,0.574468085106383
193,BEL,2004,26.0,44.0,0.37142857142857144
194,BEL,2008,22.0,90.0,0.19642857142857142
195,BEL,2012,49.0,93.0,0.34507042253521125
196,BEL,2016,53.0,85.0,0.38405797101449274
197,BEN,1980,1.0,16.0,0.058823529411764705
198,BEN,1988,2.0,8.0,0.2
199,BEN,1992,2.0,5.0,0.2857142857142857
200,BEN,1996,1.0,6.0,0.14285714285714285
201,BEN,2000,1.0,3.0,0.25
202,BEN,2004,2.0,2.0,0.5
203,BEN,2008,2.0,3.0,0.4
204,BEN,2012,1.0,4.0,0.2
205,BEN,2016,2.0,4.0,0.3333333333333333
206,BER,1948,5.0,23.0,0.17857142857142858
207,BER,1952,4.0,8.0,0.3333333333333333
208,BER,1976,1.0,19.0,0.05
209,BER,1984,1.0,12.0,0.07692307692307693
210,BER,1988,1.0,13.0,0.07142857142857142
211,BER,1992,9.0,20.0,0.3103448275862069
212,BER,1996,2.0,8.0,0.2
213,BER,2000,2.0,5.0,0.2857142857142857
214,BER,2004,5.0,5.0,0.5
215,BER,2008,4.0,2.0,0.6666666666666666
216,BER,2012,3.0,5.0,0.375
217,BER,2016,4.0,4.0,0.5
218,BHU,1984,3.0,3.0,0.5
219,BHU,1992,6.0,6.0,0.5
220,BHU,1996,1.0,1.0,0.5
221,BHU,2000,1.0,1.0,0.5
