,NOC,Year,F,M,FP
432,MAR,2014,2.0,2.0,0.5
433,MDA,1994,2.0,2.0,0.5
434,MDA,1998,2.0,2.0,0.5
435,MDA,2002,5.0,4.0,0.5555555555555556
436,MDA,2006,7.0,3.0,0.7
437,MDA,2010,4.0,7.0,0.36363636363636365
438,MDA,2014,2.0,3.0,0.4
439,MEX,1988,1.0,20.0,0.047619047619047616
440,MEX,1992,7.0,27.0,0.20588235294117646
441,MGL,1964,6.0,16.0,0.2727272727272727
442,MGL,1988,3.0,6.0,0.3333333333333333
443,MGL,2002,1.0,3.0,0.25
444,MGL,2006,1.0,1.0,0.5
445,MGL,2010,1.0,1.0,0.5
446,MGL,2014,1.0,1.0,0.5
447,MKD,1998,1.0,2.0,0.3333333333333333
448,MKD,2006,2.0,3.0,0.4
449,MKD,2010,1.0,3.0,0.25
450,MKD,2014,1.0,5.0,0.16666666666666666
451,MNE,2014,1.0,2.0,0.3333333333333333
452,MON,2006,5.0,5.0,0.5
453,MON,2010,4.0,2.0,0.6666666666666666
454,MON,2014,2.0,9.0,0.18181818181818182
455,NED,1936,1.0,18.0,0.05263157894736842
456,NED,1952,2.0,21.0,0.08695652173913043
457,NED,1956,2.0,14.0,0.125
458,NED,1960,2.0,11.0,0.15384615384615385
459,NED,1964,4.0,8.0,0.3333333333333333
460,NED,1968,12.0,14.0,0.46153846153846156
461,NED,1972,13.0,13.0,0.5
462,NED,1976,13.0,10.0,0.5652173913043478
463,NED,1980,12.0,35.0,0.2553191489361702
464,NED,1984,12.0,17.0,0.41379310344827586
465,NED,1988,12.0,13.0,0.48
466,NED,1992,22.0,18.0,0.55
467,NED,1994,20.0,23.0,0.46511627906976744
468,NED,1998,27.0,21.0,0.5625
469,NED,2002,22.0,27.0,0.4489795918367347
470,NED,2006,30.0,33.0,0.47619047619047616
471,NED,2010,35.0,30.0,0.5384615384615384
472,NED,2014,41.0,41.0,0.5
473,NOR,1924,1.0,35.0,0.027777777777777776
474,NOR,1928,3.0,31.0,0.08823529411764706
475,NOR,1932,1.0,32.0,0.030303030303030304
476,NOR,1936,6.0,41.0,0.1276595744680851
477,NOR,1948,8.0,67.0,0.10666666666666667
478,NOR,1952,19.0,82.0,0.18811881188118812
479,NOR,1956,18.0,59.0,0.23376623376623376
480,NOR,1960,11.0,44.0,0.2
481,NOR,1964,14.0,76.0,0.15555555555555556
482,NOR,1968,26.0,81.0,0.24299065420560748
483,NOR,1972,33.0,81.0,0.2894736842105263
484,NOR,1976,20.0,61.0,0.24691358024691357
485,NOR,1980,20.0,80.0,0.2
486,NOR,1984,22.0,75.0,0.2268041237113402
487,NOR,1988,22.0,93.0,0.19130434782608696
488,NOR,1992,53.0,103.0,0.33974358974358976
489,NOR,1994,48.0,111.0,0.3018867924528302
490,NOR,1998,62.0,87.0,0.4161073825503356
491,NOR,2002,56.0,110.0,0.3373493975903614
492,NOR,2006,56.0,105.0,0.34782608695652173
493,NOR,2010,55.0,135.0,0.2894736842105263
494,NOR,2014,77.0,142.0,0.3515981735159817
495,NZL,1952,2.0,4.0,0.3333333333333333
496,NZL,1960,6.0,6.0,0.5
497,NZL,1968,4.0,11.0,0.26666666666666666
498,NZL,1976,4.0,9.0,0.3076923076923077
499,NZL,1980,4.0,7.0,0.36363636363636365
500,NZL,1984,3.0,6.0,0.3333333333333333
501,NZL,1988,4.0,15.0,0.21052631578947367
502,NZL,1992,1.0,9.0,0.1
503,NZL,1994,2.0,14.0,0.125
504,NZL,1998,4.0,5.0,0.4444444444444444
505,NZL,2002,3.0,13.0,0.1875
506,NZL,2006,8.0,10.0,0.4444444444444444
507,NZL,2010,9.0,13.0,0.4090909090909091
508,NZL,2014,8.0,10.0,0.4444444444444444
509,PER,2010,2.0,3.0,0.4
510,PER,2014,2.0,3.0,0.4
511,POL,1952,9.0,33.0,0.21428571428571427
512,POL,1956,15.0,59.0,0.20270270270270271
513,POL,1960,15.0,13.0,0.5357142857142857
514,POL,1964,27.0,59.0,0.313953488372093
515,POL,1968,15.0,37.0,0.28846153846153844
516,POL,1972,15.0,51.0,0.22727272727272727
517,POL,1976,29.0,64.0,0.3118279569892473
518,POL,1980,4.0,35.0,0.10256410256410256
519,POL,1984,14.0,28.0,0.3333333333333333
520,POL,1988,11.0,32.0,0.2558139534883721
521,POL,1992,36.0,62.0,0.3673469387755102
522,POL,1994,33.0,26.0,0.559322033898305
523,POL,1998,32.0,47.0,0.4050632911392405
524,POL,2002,8.0,46.0,0.14814814814814814
525,POL,2006,34.0,57.0,0.37362637362637363
526,POL,2010,61.0,45.0,0.5754716981132075
527,POL,2014,73.0,76.0,0.4899328859060403
528,POR,1998,1.0,1.0,0.5
529,POR,2014,2.0,2.0,0.5
530,PRK,1964,11.0,9.0,0.55
531,PRK,1984,8.0,9.0,0.47058823529411764
532,PRK,1988,10.0,5.0,0.6666666666666666
533,PRK,1992,20.0,16.0,0.5555555555555556
534,PRK,1998,13.0,4.0,0.7647058823529411
535,PRK,2006,5.0,2.0,0.7142857142857143
536,PRK,2010,2.0,1.0,0.6666666666666666
537,PUR,1988,2.0,15.0,0.11764705882352941
538,ROU,1936,1.0,21.0,0.045454545454545456
539,ROU,1956,12.0,23.0,0.34285714285714286
540,ROU,1968,1.0,40.0,0.024390243902439025
541,ROU,1980,2.0,40.0,0.047619047619047616
542,ROU,1984,5.0,30.0,0.14285714285714285
543,ROU,1988,17.0,8.0,0.68
544,ROU,1992,28.0,34.0,0.45161290322580644
545,ROU,1994,24.0,24.0,0.5
546,ROU,1998,9.0,20.0,0.3103448275862069
547,ROU,2002,21.0,20.0,0.5121951219512195
